name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type)
Bhandary's Kitchen,Yes,No,3.6,16,Koramangala 7th Block,Delivery,North Indian,300,Delivery
Cool Bites,Yes,No,3.7,0,Koramangala 4th Block,Quick Bites,Fast Food,200,Delivery
Ebony,Yes,Yes,4.3,3126,MG Road,Casual Dining,North Indian,1500,Buffet
Ebony,Yes,Yes,4.3,3126,MG Road,Casual Dining,South Indian,1500,Buffet
JW Kitchen - JW Marriott Bengaluru,No,Yes,4.4,2111,Lavelle Road,Fine Dining,North Indian,2200,Buffet
JW Kitchen - JW Marriott Bengaluru,No,Yes,4.4,2111,Lavelle Road,Fine Dining,Continental,2200,Buffet
JW Kitchen - JW Marriott Bengaluru,No,Yes,4.4,2111,Lavelle Road,Fine Dining,Italian,2200,Buffet
The Tao Terraces,Yes,Yes,4.0,1909,MG Road,Casual Dining,Chinese,2100,Buffet
Mainland China,Yes,Yes,4.5,1394,Church Street,"Casual Dining, Bar",Chinese,1700,Buffet
Rasovara,Yes,Yes,4.3,763,Lavelle Road,Casual Dining,North Indian,1400,Buffet
Empire Restaurant,Yes,No,4.0,3209,Church Street,Casual Dining,North Indian,750,Buffet
Empire Restaurant,Yes,No,4.0,3209,Church Street,Casual Dining,South Indian,750,Buffet
Empire Restaurant,Yes,No,4.0,3209,Church Street,Casual Dining,Chinese,750,Buffet
Le Jardin - The Oberoi,No,No,4.3,687,MG Road,Fine Dining,North Indian,3000,Buffet
BBQ@52,No,Yes,3.8,64,MG Road,Casual Dining,Continental,1500,Buffet
Konark Vegetarian Restaurant,No,No,4.1,1022,Residency Road,Casual Dining,North Indian,500,Buffet
Konark Vegetarian Restaurant,No,No,4.1,1022,Residency Road,Casual Dining,Chinese,500,Buffet
Konark Vegetarian Restaurant,No,No,4.1,1022,Residency Road,Casual Dining,Continental,500,Buffet
Konark Vegetarian Restaurant,No,No,4.1,1022,Residency Road,Casual Dining,South Indian,500,Buffet
The Spice Bazaar,No,Yes,4.2,347,Lavelle Road,"Casual Dining, Bar",North Indian,1000,Buffet
BBQ'D - Global Grill & Brewery,No,No,4.3,471,Lavelle Road,"Casual Dining, Microbrewery",North Indian,1500,Buffet
The Market - The Ritz-Carlton,No,Yes,4.3,622,Residency Road,Fine Dining,North Indian,3400,Buffet
Cafe Mangii,Yes,Yes,4.3,1048,Lavelle Road,Casual Dining,Italian,1600,Buffet
Cafe Mangii,Yes,Yes,4.3,1048,Lavelle Road,Casual Dining,Continental,1600,Buffet
Cafe Mangii,Yes,Yes,4.3,1048,Lavelle Road,Casual Dining,Pizza,1600,Buffet
Ithaca - The Chancery Pavilion,No,Yes,3.9,310,Residency Road,Fine Dining,North Indian,2000,Buffet
Ithaca - The Chancery Pavilion,No,Yes,3.9,310,Residency Road,Fine Dining,Italian,2000,Buffet
Ithaca - The Chancery Pavilion,No,Yes,3.9,310,Residency Road,Fine Dining,Continental,2000,Buffet
Pinxx - Royal Orchid Central,Yes,Yes,3.8,198,MG Road,Casual Dining,Italian,1600,Buffet
Monsoon - The Park Bangalore,No,Yes,4.2,271,MG Road,Fine Dining,Italian,3000,Buffet
Monsoon - The Park Bangalore,No,Yes,4.2,271,MG Road,Fine Dining,North Indian,3000,Buffet
South Parade - The Chancery Hotel,No,No,3.1,120,Lavelle Road,"Casual Dining, Bar",North Indian,1200,Buffet
South Parade - The Chancery Hotel,No,No,3.1,120,Lavelle Road,"Casual Dining, Bar",Continental,1200,Buffet
South Parade - The Chancery Hotel,No,No,3.1,120,Lavelle Road,"Casual Dining, Bar",Chinese,1200,Buffet
Curry with a 'K' - St. Mark's Hotel,No,No,3.9,89,St. Marks Road,Casual Dining,North Indian,1400,Buffet
Northern Gate- Gateway Hotel,No,Yes,3.9,100,Residency Road,Casual Dining,North Indian,1900,Buffet
Canopy,No,No,3.0,107,MG Road,Casual Dining,North Indian,800,Buffet
Canopy,No,No,3.0,107,MG Road,Casual Dining,Continental,800,Buffet
Canopy,No,No,3.0,107,MG Road,Casual Dining,Chinese,800,Buffet
Nithyothsav - Hotel Ramanashree,No,No,3.0,31,MG Road,Casual Dining,North Indian,1000,Buffet
Nithyothsav - Hotel Ramanashree,No,No,3.0,31,MG Road,Casual Dining,Chinese,1000,Buffet
Skylit - Citrus Hotels,No,Yes,4.0,324,Cunningham Road,Lounge,North Indian,1300,Buffet
Banjara Melting Pot,Yes,Yes,4.2,474,Cunningham Road,Casual Dining,North Indian,1700,Buffet
Banjara Melting Pot,Yes,Yes,4.2,474,Cunningham Road,Casual Dining,Chinese,1700,Buffet
